,GEOGRAPHY_CODE,final_total
0,95AA01,5
1,95AA02,15
2,95AA03,10
3,95AA04,10
4,95AA05,5
5,95AA06,20
6,95AA07,5
7,95AA08,15
8,95AA09,20
9,95AA10,15
10,95AA11,20
11,95AA12,5
12,95AA13,10
13,95AA14,10
14,95AA15,20
15,95AA16,15
16,95AA17,10
17,95AA18,5
18,95AA19,5
19,95BB01,5
20,95BB02,20
21,95BB03,20
22,95BB04,10
23,95BB05,5
24,95BB06,25
25,95BB07,20
26,95BB08,10
27,95BB09,15
28,95BB10,5
29,95BB11,15
30,95BB12,30
31,95BB13,25
32,95BB14,5
33,95BB15,15
34,95BB16,5
35,95BB17,20
36,95BB18,10
37,95BB19,15
38,95BB20,25
39,95BB21,25
40,95BB22,35
41,95BB23,5
42,95CC01,20
43,95CC02,0
44,95CC03,25
45,95CC04,10
46,95CC05,5
47,95CC06,15
48,95CC07,10
49,95CC08,15
50,95CC09,10
51,95CC10,15
52,95CC11,15
53,95CC12,5
54,95CC13,5
55,95CC14,5
56,95CC15,0
57,95CC16,10
58,95CC17,5
59,95CC18,10
60,95CC19,10
61,95CC20,10
62,95CC21,15
63,95CC22,5
64,95DD01,5
65,95DD02,10
66,95DD03,10
67,95DD04,25
68,95DD05,15
69,95DD06,5
70,95DD07,5
71,95DD08,15
72,95DD09,5
73,95DD10,15
74,95DD11,10
75,95DD12,5
76,95DD13,15
77,95DD14,10
78,95DD15,0
79,95DD16,10
80,95DD17,5
81,95DD18,20
82,95DD19,10
83,95DD20,15
84,95DD21,10
85,95DD22,5
86,95DD23,0
87,95DD24,5
88,95EE01,5
89,95EE02,5
90,95EE03,20
91,95EE04,10
92,95EE05,5
93,95EE06,10
94,95EE07,15
95,95EE08,10
96,95EE09,10
97,95EE10,10
98,95EE11,5
99,95EE12,20
100,95EE13,5
101,95EE14,15
102,95EE15,10
103,95EE16,10
104,95FF01,10
105,95FF02,0
106,95FF03,0
107,95FF04,5
108,95FF05,10
109,95FF06,5
110,95FF07,15
111,95FF08,15
112,95FF09,10
113,95FF10,5
114,95FF11,5
115,95FF12,5
116,95FF13,5
117,95FF14,0
118,95FF15,10
119,95FF16,10
120,95FF17,5
121,95GG01,30
122,95GG02,100
123,95GG03,25
124,95GG04,50
125,95GG05,30
126,95GG06,45
127,95GG07,60
128,95GG08,50
129,95GG09,15
130,95GG10,50
131,95GG11,35
132,95GG12,80
133,95GG13,20
134,95GG14,20
135,95GG15,10
136,95GG16,45
137,95GG17,45
138,95GG18,70
139,95GG19,70
140,95GG20,70
141,95GG21,70
142,95GG22,40
143,95GG23,10
144,95GG24,20
145,95GG25,55
146,95GG26,30
147,95GG27,65
148,95GG28,30
149,95GG29,45
150,95GG30,20
151,95GG31,50
152,95GG32,55
153,95GG33,10
154,95GG34,20
155,95GG35,50
156,95GG36,30
157,95GG37,20
158,95GG38,15
159,95GG39,65
160,95GG40,50
161,95GG41,10
162,95GG42,15
163,95GG43,15
164,95GG44,60
165,95GG45,15
166,95GG46,70
167,95GG47,105
168,95GG48,65
169,95GG49,45
170,95GG50,50
171,95GG51,65
172,95HH01,0
173,95HH02,10
174,95HH03,0
175,95HH04,15
176,95HH05,25
177,95HH06,20
178,95HH07,25
179,95HH08,10
180,95HH09,20
181,95HH10,5
182,95HH11,20
183,95HH12,10
184,95HH13,15
185,95HH14,15
186,95HH15,15
187,95HH16,5
188,95HH17,10
189,95II01,0
190,95II02,20
191,95II03,5
192,95II04,20
193,95II05,10
194,95II06,5
195,95II07,15
196,95II08,0
197,95II09,10
198,95II10,20
199,95II11,0
200,95II12,0
201,95II13,20
202,95II14,5
203,95II15,0
204,95II16,10
205,95II17,15
206,95II18,15
207,95II19,10
208,95II20,10
209,95II21,20
210,95II22,0
211,95II23,10
212,95JJ01,5
213,95JJ02,20
214,95JJ03,45
215,95JJ04,25
216,95JJ05,20
217,95JJ06,30
218,95JJ07,25
219,95JJ08,20
220,95JJ09,5
221,95JJ10,20
222,95JJ11,15
223,95JJ12,15
224,95JJ13,20
225,95JJ14,10
226,95JJ15,20
227,95JJ16,15
228,95JJ17,5
229,95JJ18,10
230,95JJ19,5
231,95JJ20,20
232,95JJ21,15
233,95JJ22,5
234,95KK01,5
235,95KK02,0
236,95KK03,0
237,95KK04,10
238,95KK05,0
239,95KK06,0
240,95KK07,0
241,95KK08,5
242,95KK09,10
243,95KK10,0
244,95KK11,15
245,95KK12,15
246,95KK13,5
247,95KK14,10
248,95KK15,0
249,95KK16,5
250,95LL01,15
251,95LL02,20
252,95LL03,20
253,95LL04,15
254,95LL05,10
255,95LL06,15
256,95LL07,25
257,95LL08,15
258,95LL09,35
259,95LL10,15
260,95LL11,10
261,95LL12,30
262,95LL13,25
263,95LL14,20
264,95LL15,15
265,95LL16,25
266,95LL17,15
267,95LL18,15
268,95LL19,20
269,95LL20,15
270,95LL21,25
271,95LL22,25
272,95LL23,15
273,95LL24,10
274,95LL25,10
275,95LL26,20
276,95MM01,55
277,95MM02,10
278,95MM03,20
279,95MM04,20
280,95MM05,30
281,95MM06,35
282,95MM07,40
283,95MM08,25
284,95MM09,15
285,95MM10,45
286,95MM11,40
287,95MM12,95
288,95MM13,80
289,95MM14,35
290,95MM15,20
291,95MM16,45
292,95MM17,30
293,95MM18,25
294,95MM19,20
295,95MM20,25
296,95MM21,25
297,95MM22,15
298,95MM23,40
299,95MM24,55
300,95MM25,85
301,95MM26,35
302,95MM27,85
303,95MM28,50
304,95MM29,55
305,95MM30,40
306,95NN01,20
307,95NN02,10
308,95NN03,20
309,95NN04,40
310,95NN05,20
311,95NN06,15
312,95NN07,25
313,95NN08,10
314,95NN09,10
315,95NN10,15
316,95NN11,10
317,95NN12,15
318,95NN13,10
319,95NN14,25
320,95NN15,25
321,95NN16,10
322,95NN17,25
323,95NN18,20
324,95NN19,10
325,95NN20,5
326,95NN21,15
327,95NN22,15
328,95NN23,10
329,95OO01,0
330,95OO02,0
331,95OO03,5
332,95OO04,0
333,95OO05,20
334,95OO06,5
335,95OO07,0
336,95OO08,5
337,95OO09,10
338,95OO10,10
339,95OO11,15
340,95OO12,15
341,95OO13,10
342,95OO14,5
343,95OO15,10
344,95OO16,0
345,95OO17,10
346,95OO18,15
347,95OO19,10
348,95OO20,10
349,95OO21,5
350,95OO22,10
351,95PP01,0
352,95PP02,5
353,95PP03,10
354,95PP04,10
355,95PP05,5
356,95PP06,15
357,95PP07,10
358,95PP08,5
359,95PP09,20
360,95PP10,0
361,95PP11,15
362,95PP12,5
363,95PP13,10
364,95PP14,15
365,95PP15,10
366,95PP16,5
367,95PP17,10
368,95PP18,10
369,95PP19,10
370,95PP20,20
371,95PP21,10
372,95PP22,10
373,95PP23,10
374,95QQ01,25
375,95QQ02,5
376,95QQ03,15
377,95QQ04,10
378,95QQ05,10
379,95QQ06,15
380,95QQ07,25
381,95QQ08,15
382,95QQ09,10
383,95QQ10,5
384,95QQ11,10
385,95QQ12,5
386,95QQ13,5
387,95QQ14,20
388,95QQ15,15
389,95RR01,25
390,95RR02,20
391,95RR03,15
392,95RR04,15
393,95RR05,25
394,95RR06,10
395,95RR07,15
396,95RR08,5
397,95RR09,30
398,95RR10,35
399,95RR11,10
400,95RR12,10
401,95RR13,25
402,95RR14,15
403,95RR15,15
404,95SS01,15
405,95SS02,15
406,95SS03,5
407,95SS04,30
408,95SS05,10
409,95SS06,90
410,95SS07,60
411,95SS08,10
412,95SS09,0
413,95SS10,20
414,95SS11,15
415,95SS12,15
416,95SS13,20
417,95SS14,20
418,95SS15,5
419,95SS16,30
420,95SS17,25
421,95SS18,20
422,95SS19,30
423,95SS20,0
424,95SS21,5
425,95SS22,10
426,95SS23,10
427,95SS24,15
428,95SS25,20
429,95SS26,25
430,95SS27,10
431,95SS28,20
432,95SS29,30
433,95SS30,0
434,95TT01,5
435,95TT02,5
436,95TT03,10
437,95TT04,5
438,95TT05,15
439,95TT06,15
440,95TT07,5
441,95TT08,5
442,95TT09,5
443,95TT10,15
444,95TT11,10
445,95TT12,5
446,95TT13,25
447,95TT14,15
448,95TT15,10
449,95TT16,5
450,95UU01,5
451,95UU02,10
452,95UU03,5
453,95UU04,15
454,95UU05,5
455,95UU06,5
456,95UU07,0
457,95UU08,5
458,95UU09,0
459,95UU10,0
460,95UU11,5
461,95UU12,20
462,95UU13,10
463,95UU14,15
464,95UU15,5
465,95VV01,15
466,95VV02,20
467,95VV03,20
468,95VV04,0
469,95VV05,0
470,95VV06,15
471,95VV07,25
472,95VV08,10
473,95VV09,20
474,95VV10,35
475,95VV11,15
476,95VV12,20
477,95VV13,10
478,95VV14,15
479,95VV15,25
480,95VV16,10
481,95VV17,15
482,95VV18,20
483,95VV19,15
484,95VV20,5
485,95VV21,10
486,95VV22,10
487,95VV23,10
488,95VV24,15
489,95VV25,15
490,95VV26,10
491,95VV27,20
492,95VV28,20
493,95VV29,10
494,95VV30,5
495,95WW01,20
496,95WW02,25
497,95WW03,20
498,95WW04,10
499,95WW05,10
500,95WW06,10
501,95WW07,5
502,95WW08,10
503,95WW09,10
504,95WW10,25
505,95WW11,5
506,95WW12,30
507,95WW13,10
508,95WW14,25
509,95WW15,15
510,95WW16,20
511,95WW17,20
512,95WW18,10
513,95WW19,20
514,95WW20,15
515,95WW21,30
516,95WW22,10
517,95WW23,15
518,95WW24,35
519,95WW25,15
520,95XX01,10
521,95XX02,5
522,95XX03,5
523,95XX04,15
524,95XX05,5
525,95XX06,25
526,95XX07,5
527,95XX08,0
528,95XX09,5
529,95XX10,25
530,95XX11,30
531,95XX12,5
532,95XX13,5
533,95XX14,0
534,95XX15,20
535,95XX16,5
536,95XX17,35
537,95XX18,10
538,95XX19,5
539,95XX20,15
540,95XX21,10
541,95XX22,20
542,95XX23,20
543,95XX24,5
544,95XX25,20
545,95YY01,5
546,95YY02,15
547,95YY03,5
548,95YY04,15
549,95YY05,5
550,95YY06,5
551,95YY07,10
552,95YY08,0
553,95YY09,15
554,95YY10,5
555,95YY11,5
556,95YY12,15
557,95YY13,20
558,95YY14,15
559,95YY15,30
560,95YY16,5
561,95YY17,5
562,95YY18,5
563,95YY19,5
564,95YY20,0
565,95YY21,5
566,95ZZ01,20
567,95ZZ02,30
568,95ZZ03,30
569,95ZZ04,10
570,95ZZ05,15
571,95ZZ06,40
572,95ZZ07,25
573,95ZZ08,20
574,95ZZ09,25
575,95ZZ10,40
576,95ZZ11,10
577,95ZZ12,20
578,95ZZ13,15
579,95ZZ14,15
580,95ZZ15,15
581,95ZZ16,30
582,E36000001,175
583,E36000002,145
584,E36000003,155
585,E36000004,5
586,E36000005,55
587,E36000006,90
588,E36000007,110
589,E36000008,10
590,E36000009,35
591,E36000010,155
592,E36000011,15
593,E36000012,95
594,E36000013,75
595,E36000014,35
596,E36000015,115
597,E36000016,185
598,E36000017,85
599,E36000018,20
600,E36000019,80
601,E36000020,65
602,E36000021,65
603,E36000022,25
604,E36000023,50
605,E36000024,30
606,E36000025,170
607,E36000026,70
608,E36000027,20
609,E36000028,50
610,E36000029,50
611,E36000030,15
612,E36000031,10
613,E36000032,80
614,E36000033,145
615,E36000034,10
616,E36000035,90
617,E36000036,65
618,E36000037,120
619,E36000038,15
620,E36000039,120
621,E36000040,90
622,E36000041,65
623,E36000042,90
624,E36000043,50
625,E36000044,100
626,E36000045,115
627,E36000046,70
628,E36000047,25
629,E36000048,75
630,E36000049,25
631,E36000050,70
632,E36000051,15
633,E36000052,35
634,E36000053,45
635,E36000054,40
636,E36000055,25
637,E36000056,55
638,E36000057,125
639,E36000058,25
640,E36000059,55
641,E36000060,25
642,E36000061,20
643,E36000062,30
644,E36000063,65
645,E36000064,85
646,E36000065,25
647,E36000066,55
648,E36000067,15
649,E36000068,35
650,E36000069,15
651,E36000070,25
652,E36000071,25
653,E36000072,75
654,E36000073,15
655,E36000074,35
656,E36000075,25
657,E36000076,130
658,E36000077,135
659,E36000078,5
660,E36000079,65
661,E36000080,70
