GEOGRAPHY_CODE,total
E05005607,155
E05004628,10
E05001767,175
E05006917,5
E05004363,25
E05001784,125
E05007474,130
E05001935,35
E05008136,10
E05003695,0
E05007868,40
E05002319,65
E05000455,45
E05002702,40
E05002674,40
E05001260,90
E05007542,10
E05000026,115
E05005056,30
E05005890,10
E05006489,5
E05008714,105
E05002147,55
E05005941,70
E05000630,15
E05005942,25
E05000214,135
E05007163,20
E05004818,5
E05003367,20
E05008857,5
W05000720,60
W05000284,0
W05000357,0
W05000655,50
W05000656,50
W05000551,65
W05000718,55
W05000719,35
W05000657,45
W05000658,60
W05000659,55
W05000108,0
W05000042,0
W05000552,20
W05000043,5
W05000001,0
W05000112,35
W05000457,5
W05000593,15
W05000044,10
W05000358,5
W05000080,5
W05000767,70
W05000359,10
W05000360,10
W05000361,25
W05000751,60
W05000362,5
W05000363,20
W05000364,10
W05000365,15
W05000366,20
E05000382,35
E05006598,25
E05006599,25
E05006600,10
E05006601,10
E05006602,15
E05006603,15
E05006604,0
E05008824,65
E05000840,170
E05001482,40
E05001444,55
E05005757,10
E05001178,390
E05001745,25
W05000237,15
E05000170,80
W05000853,180
E05006517,0
E05000146,145
E05000250,90
E05006273,0
E05007348,25
E05007349,20
E05001411,55
E05004691,30
E05004692,25
E05005165,20
E05007491,25
E05000997,170
E05007927,20
E05005292,0
E05000932,55
E05006189,0
E05001445,145
E05005801,5
E05004629,75
E05008137,25
E05008585,15
E05008916,10
E05008525,10
E05000495,60
E05008327,10
E05004693,0
E05007194,0
E05004746,10
E05004747,5
E05008328,0
E05003671,0
E05008610,10
E05002289,0
E05002131,75
E05000001,0
E05000002,10
E05001301,55
E05001302,90
E05007576,5
E05007577,5
E05000266,25
E05000400,30
E05000719,240
E05007117,100
E05007411,0
E05005559,35
E05003280,60
E05007846,5
E05003986,10
E05000027,105
E05005987,60
E05006938,10
E05005721,5
E05003114,15
E05007103,5
E05005662,35
E05004288,20
E05000886,75
E05001768,20
E05004982,10
E05003560,0
W05000553,10
W05000833,70
E05008558,95
E05002043,10
E05008018,35
E05000085,55
E05003491,20
E05003281,0
E05004226,5
E05006939,10
E05008611,40
E05003205,5
E05005293,5
E05008199,10
E05005206,45
E05004190,10
E05001446,110
E05007039,5
E05007076,5
E05004459,0
E05004460,0
E05004461,10
E05004227,70
E05004462,10
E05004463,5
E05004464,10
E05000819,30
E05001769,170
E05007823,15
E05008138,5
E05004531,5
E05006627,5
E05004336,10
W05000834,90
E05001412,85
E05004378,0
E05005479,5
E05008019,35
E05008020,10
E05001236,65
E05003235,5
E05008599,15
E05006518,15
E05002630,0
E05002632,10
E05002631,20
E05008329,20
E05008330,20
E05003672,0
E05007066,60
W05000002,15
W05000003,0
W05000458,30
E05006760,15
E05006297,0
E05004630,0
E05006298,0
E05004308,0
E05004631,0
E05008778,25
W05000946,0
E05001643,25
E05000687,175
E05000887,225
E05006918,40
E05004532,10
E05007578,15
E05004632,10
E05007955,100
E05005185,0
E05005426,10
E05008935,40
E05001882,5
E05005511,0
E05003206,10
E05003207,5
E05003615,5
E05001577,65
E05004082,20
E05001598,10
E05006342,0
E05006605,15
E05004694,25
E05007880,25
E05001822,225
E05001770,305
E05002372,10
E05001039,225
E05002703,45
E05007475,50
E05004761,5
E05007668,5
E05004228,10
E05001413,60
E05000688,235
E05007928,35
W05000721,20
W05000180,15
E05003180,5
E05008779,35
E05001883,15
E05007457,40
W05000046,5
E05006940,20
E05001414,395
E05000998,75
E05003236,0
E05008479,5
E05007579,5
E05002271,5
E05002349,5
E05006628,5
E05005495,15
E05007286,10
E05007287,15
E05007288,20
E05005008,15
E05003342,5
E05003343,20
E05001389,195
E05000147,115
E05003591,20
E05001728,105
E05005512,0
E05005513,15
E05005514,15
E05005618,10
E05004408,15
E05004261,0
E05003929,30
E05002633,15
E05007362,15
E05007363,15
E05007364,30
E05007365,20
E05004207,10
E05008021,85
E05004785,30
E05001972,135
E05002634,0
E05003417,0
E05004695,0
E05004819,20
E05007308,5
E05007309,5
E05007310,5
E05005270,30
E05000841,55
E05005186,15
E05000800,140
E05000801,155
E05000802,90
E05000820,15
E05005357,35
E05007669,0
E05004580,5
E05006761,10
E05000999,80
E05000251,100
E05003208,0
E05003115,15
E05001823,325
E05008780,5
E05000842,50
E05005843,5
E05000650,75
E05000843,50
E05005166,25
E05008809,20
E05001179,830
W05000181,15
E05007512,0
E05002594,15
E05006569,0
E05006027,5
E05007869,15
E05000844,95
E05007458,30
E05007459,20
E05007460,20
E05000845,220
E05006402,0
E05007476,55
E05000803,75
E05008612,10
E05001620,100
E05006964,20
E05005359,5
E05005358,5
E05007273,0
E05002635,0
E05005663,10
E05002229,55
E05004309,0
E05001664,130
E05003561,5
E05007492,5
E05005988,70
E05000252,50
E05001973,85
E05004337,10
E05006403,10
E05008893,5
E05001729,25
E05001730,45
E05001731,25
E05003459,15
E05003460,20
E05007956,55
E05007957,55
E05007958,100
E05002595,20
E05005104,20
E05004867,45
E05004943,40
E05001785,95
E05001842,25
E05005758,35
E05001483,75
E05001218,60
E05001843,5
E05008601,10
E05007133,5
E05005943,5
E05008715,95
E05007461,20
E05008563,5
W05000936,15
E05007895,10
E05007134,5
E05002441,75
W05000182,15
W05000183,30
W05000554,35
E05008139,10
E05007040,0
E05006919,0
E05007375,10
E05000689,180
E05001341,35
E05003930,80
E05003344,5
W05000084,10
E05001000,140
E05000739,135
E05006464,20
E05006465,35
E05004762,5
E05004763,10
E05007847,0
E05000610,20
E05002636,0
E05002791,10
E05005330,25
E05005331,20
E05005332,25
E05008022,5
E05000740,65
E05006629,5
E05006519,10
E05006520,20
E05006521,70
E05006522,25
E05006523,30
E05006524,55
E05004805,20
E05005150,110
E05001553,55
E05007329,15
E05008602,35
W05000285,0
E05002792,5
E05007477,70
E05005944,0
E05003945,10
E05006190,0
E05005696,10
E05007944,5
E05005515,10
E05007164,15
E05005222,15
E05002455,155
W05000722,85
E05004902,5
E05002373,5
E05007135,5
E05000496,35
E05007013,10
E05003303,10
E05006343,15
E05005480,10
E05004208,5
E05003418,0
E05004983,5
E05003389,15
E05002169,5
E05007959,35
E05007960,15
E05004566,45
E05000064,40
E05000516,25
E05001153,75
E05002193,20
E05005207,60
E05007580,20
E05000324,85
E05000086,95
E05007165,10
E05000366,85
E05004262,0
E05005965,0
E05004364,55
E05007166,5
E05003323,40
E05003145,30
E05005427,15
E05005664,5
E05005250,10
E05001180,435
E05002793,0
E05000759,155
E05005989,15
E05004581,10
E05006274,0
E05001732,85
E05004903,90
E05006545,30
E05004365,115
E05008781,10
W05000632,30
E05005481,60
E05001824,175
E05004582,5
E05002290,0
E05004430,5
E05002735,5
E05002456,40
E05002794,10
E05005619,10
E05000003,0
E05001621,80
E05007014,0
E05007870,75
E05004786,40
E05001936,10
E05001937,0
E05001938,5
E05001939,0
E05001390,175
E05001391,205
E05007881,15
E05004567,60
E05002320,65
E05001115,95
E05003966,15
E05004289,5
E05008140,15
E05004431,10
E05005208,10
E05002335,55
E05008141,25
E05000631,20
E05007581,25
E05007824,15
E05006466,35
E05005081,55
E05001135,175
E05004310,0
E05002655,5
E05002656,5
E05002657,5
E05003737,10
E05004926,20
E05005926,25
E05001622,15
E05007311,0
E05004984,10
E05001040,185
W05000937,30
W05000004,10
E05001786,175
E05004229,0
E05004868,60
E05000954,70
E05007228,15
E05007229,30
E05005913,5
E05003181,10
E05001484,75
E05006377,5
E05006762,10
E05000475,110
E05000028,115
E05004583,15
E05006208,10
W05000660,20
E05000555,30
E05000556,80
E05007478,60
E05001136,115
E05000346,80
E05000611,55
E05002596,20
E05004568,25
E05008023,25
E05008024,65
E05008025,35
W05000707,25
E05001974,50
E05004820,5
E05007882,35
W05000723,90
E05004806,55
E05001485,70
E05001578,10
W05000835,55
E05003461,0
E05006404,40
E05006405,35
E05006406,20
E05006407,5
E05001415,275
W05000286,5
E05001041,65
E05003158,20
E05002212,35
E05001787,45
E05007067,55
E05002230,95
E05000888,145
E05001237,115
E05003159,45
E05008142,15
E05000437,155
E05008026,10
E05002350,20
E05005665,20
E05000557,40
E05001844,75
E05007961,20
E05000285,30
E05003282,25
E05003283,15
E05003284,5
E05008520,20
E05000128,40
E05000065,95
E05005130,15
E05007962,50
E05007896,35
E05004290,10
E05007493,50
E05004696,20
E05000148,195
E05006570,10
E05006191,10
E05008716,125
E05001001,170
E05001303,170
E05001116,40
E05001089,185
E05002736,15
E05003638,15
E05003723,5
E05004120,65
E05006571,15
E05004379,10
E05004697,0
E05004698,10
E05004699,5
E05007077,5
E05001825,285
W05000287,0
E05008894,10
E05002098,30
E05004338,0
E05008858,0
E05000401,30
E05007582,40
E05008027,25
E05008028,25
E05008029,20
E05001002,55
E05000670,95
E05001826,245
E05006423,10
W05000048,0
E05000573,120
E05000574,140
W05000594,20
W05000836,130
W05000459,15
W05000114,5
W05000113,0
W05000367,5
E05001665,30
E05000402,55
E05001687,25
E05002457,215
E05007631,60
E05007929,15
E05001599,140
E05006525,10
E05006526,10
E05006527,10
E05006528,15
E05006529,15
E05001284,110
E05005380,0
E05003533,20
E05003562,5
E05000106,40
E05004096,10
E05004869,10
E05001137,175
E05007041,50
E05007042,0
E05007043,10
E05007044,0
E05007045,15
E05003616,40
E05003617,40
E05003618,40
E05008586,15
E05000955,215
E05002597,0
E05000107,45
E05008782,45
E05008783,25
W05000460,50
E05001827,205
E05006988,35
E05004021,20
E05004022,20
E05005454,0
E05001181,285
E05008825,35
E05000916,45
E05001527,80
E05001528,105
E05001529,35
E05001530,70
E05001531,15
E05005620,30
E05007646,20
E05005294,0
E05001321,230
