"GEOGRAPHY_CODE","GEOGRAPHY_NAME","Female","Female","Male","Male","Total","Total"
"95AA01","Aldergrove",5,0,5,5,10,5
"95AA02","Balloo",0,0,10,5,5,10
"95AA03","Ballycraigy",5,0,0,5,10,5
"95AA04","Clady",0,0,0,0,0,0
"95AA05","Cranfield",5,0,0,5,10,0
"95AA06","Crumlin (Antrim LGD)",10,0,5,10,15,5
"95AA07","Drumanaway",0,0,5,5,5,5
"95AA08","Farranshane",5,0,5,10,10,5
"95AA09","Fountain Hill",5,5,5,10,10,10
"95AA10","Greystone (Antrim LGD)",0,0,5,10,10,5
"95AA11","Massereene",5,5,5,10,15,10
"95AA12","Parkgate",5,0,0,0,5,5
"95AA13","Randalstown",5,0,5,5,10,5
"95AA14","Shilvodan",0,0,5,5,5,5
"95AA15","Springfarm",5,0,5,10,15,5
"95AA16","Steeple",0,5,0,5,5,5
"95AA17","Stiles",5,0,0,0,5,0
"95AA18","Templepatrick",0,0,0,0,0,5
"95AA19","Toome",0,0,0,5,5,0
"95BB01","Ballygowan",5,0,0,10,10,0
"95BB02","Ballyrainey",5,0,5,5,10,5
"95BB03","Ballywalter",5,0,5,15,5,15
"95BB04","Bradshaw's Brae",0,0,5,0,5,5
"95BB05","Carrowdore",0,5,0,5,5,5
"95BB06","Central (Ards LGD)",10,5,5,10,15,10
"95BB07","Comber East",0,0,5,10,5,10
"95BB08","Comber North",0,0,5,5,10,5
"95BB09","Comber West",5,0,0,5,10,0
"95BB10","Donaghadee North",0,0,0,5,0,5
"95BB11","Donaghadee South",0,5,5,5,10,10
"95BB12","Glen",5,10,5,10,10,20
"95BB13","Gregstown",10,5,15,5,30,10
"95BB14","Killinchy",0,0,5,0,5,5
"95BB15","Kircubbin",0,0,5,0,10,5
"95BB16","Lisbane",0,0,0,5,5,0
"95BB17","Loughries",5,5,0,10,15,5
"95BB18","Millisle",5,5,5,5,10,5
"95BB19","Movilla",5,0,5,5,10,5
"95BB20","Portaferry",5,5,10,5,15,10
"95BB21","Portavogie",5,5,10,5,10,10
"95BB22","Scrabo",10,10,10,5,20,15
"95BB23","Whitespots",0,0,0,5,5,5
"95CC01","Abbey Park",5,0,0,5,5,10
"95CC02","Ballymartrim",5,5,0,0,5,5
"95CC03","Callan Bridge",5,5,10,5,10,15
"95CC04","Carrigatuke",0,5,0,0,5,5
"95CC05","Charlemont",5,0,5,0,10,5
"95CC06","Demesne",0,0,0,5,5,5
"95CC07","Derrynoose",0,5,5,5,10,5
"95CC08","Downs",5,0,5,10,5,15
"95CC09","Hamiltonsbawn",5,5,5,5,5,5
"95CC10","Hockley",0,0,0,0,0,0
"95CC11","Keady",5,0,5,5,5,10
"95CC12","Killeen",0,5,0,0,5,0
"95CC13","Killylea",0,0,0,0,0,0
"95CC14","Laurelvale",0,0,5,0,0,5
"95CC15","Loughgall",5,0,5,0,0,10
"95CC16","Markethill",5,0,5,0,5,10
"95CC17","Milford",0,5,0,0,5,0
"95CC18","Observatory",5,0,5,5,5,5
"95CC19","Poyntz Pass",0,5,5,0,5,5
"95CC20","Rich Hill",5,0,5,0,10,0
"95CC21","Tandragee",5,5,10,0,5,10
"95CC22","The Mall",5,0,5,0,5,5
"95DD01","Academy",5,0,0,5,10,5
"95DD02","Ahoghill",5,0,5,5,10,5
"95DD03","Ardeevin",0,0,0,10,5,15
"95DD04","Ballee",10,10,5,15,25,15
"95DD05","Ballykeel",0,5,5,5,10,10
"95DD06","Ballyloughan",0,0,0,0,0,0
"95DD07","Broughshane",0,0,5,0,5,0
"95DD08","Castle Demesne",5,0,10,5,15,5
"95DD09","Craigywarren",0,0,5,0,5,0
"95DD10","Cullybackey",0,5,10,5,5,15
"95DD11","Dunclug",5,5,5,10,10,15
"95DD12","Dunminning",0,0,0,0,5,0
"95DD13","Fair Green",0,5,5,5,5,5
"95DD14","Galgorm",0,0,5,5,5,5
"95DD15","Glenravel",0,0,0,5,5,5
"95DD16","Glenwhirry",5,0,0,5,5,5
"95DD17","Grange",5,0,5,5,10,5
"95DD18","Harryville",0,0,10,5,5,10
"95DD19","Kells",0,0,5,0,5,0
"95DD20","Moat",0,0,10,5,10,5
"95DD21","Park",5,0,0,5,5,5
"95DD22","Portglenone",0,0,5,0,5,5
"95DD23","Slemish",0,0,0,0,0,0
"95DD24","Summerfield",0,0,5,5,5,5
"95EE01","Ballyhoe and Corkey",0,0,0,0,0,0
"95EE02","Benvardin",0,5,0,10,5,15
"95EE03","Carnany",0,0,5,10,5,10
"95EE04","Clogh Mills",5,0,0,0,0,5
"95EE05","Dervock",0,5,0,5,10,0
"95EE06","Dunloy",5,0,0,0,5,0
"95EE07","Fairhill",5,5,5,10,10,10
"95EE08","Glebe (Ballymoney LGD)",0,0,0,0,0,5
"95EE09","Killoquin Lower",0,5,0,0,0,5
"95EE10","Killoquin Upper",5,0,0,5,10,0
"95EE11","Knockaholet",0,0,0,0,5,0
"95EE12","Newhill",5,5,5,5,10,5
"95EE13","Route",5,0,0,0,5,0
"95EE14","Seacon",5,5,5,0,10,5
"95EE15","Stranocum",0,0,0,5,5,0
"95EE16","The Vow",0,0,0,0,5,5
"95FF01","Ballydown",0,0,10,0,10,5
"95FF02","Ballyward",5,0,0,5,10,5
"95FF03","Banbridge West",0,0,0,5,5,5
"95FF04","Bannside",0,0,0,0,5,0
"95FF05","Dromore North",0,5,0,5,10,5
"95FF06","Dromore South",5,0,0,10,10,5
"95FF07","Edenderry (Banbridge LGD)",5,5,5,5,10,10
"95FF08","Fort",5,0,5,5,10,5
"95FF09","Gilford",5,5,5,5,10,5
"95FF10","Gransha",5,5,0,5,5,10
"95FF11","Katesbridge",0,0,0,0,0,0
"95FF12","Lawrencetown",5,0,0,0,5,5
"95FF13","Loughbrickland",0,0,0,0,0,5
"95FF14","Quilly",0,0,5,0,5,0
"95FF15","Rathfriland",5,0,5,5,5,10
"95FF16","Seapatrick",0,5,5,0,0,5
"95FF17","The Cut",5,5,5,0,10,5
"95GG01","Andersonstown",5,0,10,10,20,10
"95GG02","Ardoyne",5,5,10,10,20,15
"95GG03","Ballyhackamore",5,0,5,10,10,10
"95GG04","Ballymacarrett",10,10,20,10,30,20
"95GG05","Ballynafeigh",5,10,10,5,15,10
"95GG06","Ballysillan",5,5,5,5,10,10
"95GG07","Beechmount",5,10,20,15,30,20
"95GG08","Bellevue",10,5,10,15,25,15
"95GG09","Belmont",10,0,5,5,20,10
"95GG10","Blackstaff",10,5,15,10,15,15
"95GG11","Bloomfield (Belfast LGD)",5,5,10,15,15,20
"95GG12","Botanic",5,15,35,20,25,50
"95GG13","Castleview",0,0,5,5,10,5
"95GG14","Cavehill",0,0,5,0,5,0
"95GG15","Cherryvalley",0,5,5,5,5,5
"95GG16","Chichester Park",0,5,5,5,5,10
"95GG17","Cliftonville",0,5,5,5,5,10
"95GG18","Clonard",20,15,15,20,35,35
"95GG19","Crumlin (Belfast LGD)",15,5,5,20,10,35
"95GG20","Duncairn",5,0,10,10,10,15
"95GG21","Falls",15,15,25,15,25,40
"95GG22","Falls Park",15,5,10,10,25,10
"95GG23","Finaghy",0,0,5,0,5,0
"95GG24","Fortwilliam",0,0,0,5,5,5
"95GG25","Glen Road",10,10,10,10,20,15
"95GG26","Glencairn",5,5,10,15,20,15
"95GG27","Glencolin",5,10,20,20,30,25
"95GG28","Highfield",5,0,15,10,15,20
"95GG29","Island",5,5,20,15,25,20
"95GG30","Knock",0,5,5,5,5,10
"95GG31","Ladybrook",5,10,15,15,25,20
"95GG32","Legoniel",5,0,5,5,10,5
"95GG33","Malone",0,0,0,5,0,5
"95GG34","Musgrave",5,0,5,10,10,10
"95GG35","New Lodge",0,5,10,5,10,10
"95GG36","Orangefield",5,5,10,5,10,20
"95GG37","Ravenhill",0,5,5,10,15,5
"95GG38","Rosetta",0,0,10,5,5,10
"95GG39","Shaftesbury",5,10,25,25,40,30
"95GG40","Shankill",5,10,20,15,30,20
"95GG41","Stormont",0,0,5,0,5,5
"95GG42","Stranmillis",0,0,10,10,10,10
"95GG43","Sydenham",10,5,5,10,10,15
"95GG44","The Mount",10,10,30,15,40,25
"95GG45","Upper Malone",0,5,5,0,0,10
"95GG46","Upper Springfield",5,5,20,10,15,25
"95GG47","Water Works",5,5,10,15,20,15
"95GG48","Whiterock",10,10,15,25,25,35
"95GG49","Windsor",10,5,15,10,20,20
"95GG50","Woodstock",10,10,15,15,25,25
"95GG51","Woodvale",15,10,10,25,25,35
"95HH01","Blackhead",0,0,0,5,0,5
"95HH02","Bluefield",0,5,5,5,10,5
"95HH03","Boneybefore",0,0,0,0,0,5
"95HH04","Burleigh Hill",5,0,5,5,10,5
"95HH05","Clipperstown",10,0,10,10,20,10
"95HH06","Eden",0,0,5,10,15,5
"95HH07","Gortalee",5,0,10,5,15,10
"95HH08","Greenisland",0,0,5,5,5,5
"95HH09","Killycrot",5,0,10,5,15,5
"95HH10","Knockagh",0,0,5,0,5,0
"95HH11","Love Lane",5,0,10,5,10,5
"95HH12","Milebush",5,0,0,5,5,0
"95HH13","Northland",5,0,10,5,15,5
"95HH14","Sunnylands",0,0,5,5,10,5
"95HH15","Victoria (Carrickfergus LGD)",0,5,0,5,5,5
"95HH16","Whitehead",0,0,0,5,5,0
"95HH17","Woodburn",0,0,0,5,5,0
"95II01","Ballyhanwood",0,0,0,5,5,5
"95II02","Beechill",5,0,5,5,5,5
"95II03","Cairnshill",5,0,0,5,10,0
"95II04","Carrowreagh",0,5,5,10,10,10
"95II05","Carryduff East",0,0,5,5,5,5
"95II06","Carryduff West",0,0,0,5,5,5
