GEOGRAPHY_CODE,total
95AA01,15
95AA02,15
95AA03,15
95AA04,0
95AA05,10
95AA06,20
95AA07,10
95AA08,15
95AA09,20
95AA10,15
95AA11,25
95AA12,10
95AA13,15
95AA14,10
95AA15,20
95AA16,10
95AA17,5
95AA18,5
95AA19,5
95BB01,10
95BB02,15
95BB03,20
95BB04,10
95BB05,10
95BB06,25
95BB07,15
95BB08,15
95BB09,10
95BB10,5
95BB11,20
95BB12,30
95BB13,40
95BB14,10
95BB15,15
95BB16,5
95BB17,20
95BB18,15
95BB19,15
95BB20,25
95BB21,20
95BB22,35
95BB23,10
95CC01,15
95CC02,10
95CC03,25
95CC04,10
95CC05,15
95CC06,10
95CC07,15
95CC08,20
95CC09,10
95CC10,0
95CC11,15
95CC12,5
95CC13,0
95CC14,5
95CC15,10
95CC16,15
95CC17,5
95CC18,10
95CC19,10
95CC20,10
95CC21,15
95CC22,10
95DD01,15
95DD02,15
95DD03,20
95DD04,40
95DD05,20
95DD06,0
95DD07,5
95DD08,20
95DD09,5
95DD10,20
95DD11,25
95DD12,5
95DD13,10
95DD14,10
95DD15,10
95DD16,10
95DD17,15
95DD18,15
95DD19,5
95DD20,15
95DD21,10
95DD22,10
95DD23,0
95DD24,10
95EE01,0
95EE02,20
95EE03,15
95EE04,5
95EE05,10
95EE06,5
95EE07,20
95EE08,5
95EE09,5
95EE10,10
95EE11,5
95EE12,15
95EE13,5
95EE14,15
95EE15,5
95EE16,10
95FF01,15
95FF02,15
95FF03,10
95FF04,5
95FF05,15
95FF06,15
95FF07,20
95FF08,15
95FF09,15
95FF10,15
95FF11,0
95FF12,10
95FF13,5
95FF14,5
95FF15,15
95FF16,5
95FF17,15
95GG01,30
95GG02,35
95GG03,20
95GG04,50
95GG05,25
95GG06,20
95GG07,50
95GG08,40
95GG09,30
95GG10,30
95GG11,35
95GG12,75
95GG13,15
95GG14,5
95GG15,10
95GG16,15
95GG17,15
95GG18,70
95GG19,45
95GG20,25
95GG21,65
95GG22,35
95GG23,5
95GG24,10
95GG25,35
95GG26,35
95GG27,55
95GG28,35
95GG29,45
95GG30,15
95GG31,45
95GG32,15
95GG33,5
95GG34,20
95GG35,20
95GG36,30
95GG37,20
95GG38,15
95GG39,70
95GG40,50
95GG41,10
95GG42,20
95GG43,25
95GG44,65
95GG45,10
95GG46,40
95GG47,35
95GG48,60
95GG49,40
95GG50,50
95GG51,60
95HH01,5
95HH02,15
95HH03,5
95HH04,15
95HH05,30
95HH06,20
95HH07,25
95HH08,10
95HH09,20
95HH10,5
95HH11,15
95HH12,5
95HH13,20
95HH14,15
95HH15,10
95HH16,5
95HH17,5
95II01,10
95II02,10
95II03,10
95II04,20
95II05,10
95II06,10
95II07,15
95II08,10
95II09,10
95II10,10
95II11,5
95II12,5
95II13,20
95II14,0
95II15,10
95II16,10
95II17,15
95II18,10
95II19,10
95II20,0
95II21,15
95II22,5
95II23,0
95JJ01,10
95JJ02,20
95JJ03,40
95JJ04,20
95JJ05,25
95JJ06,25
95JJ07,25
95JJ08,5
95JJ09,10
95JJ10,15
95JJ11,15
95JJ12,10
95JJ13,15
95JJ14,10
95JJ15,20
95JJ16,10
95JJ17,5
95JJ18,10
95JJ19,0
95JJ20,20
95JJ21,25
95JJ22,10
95KK01,5
95KK02,0
95KK03,5
95KK04,10
95KK05,15
95KK06,10
95KK07,5
95KK08,15
95KK09,15
95KK10,5
95KK11,15
95KK12,15
95KK13,5
95KK14,5
95KK15,10
95KK16,10
95LL01,10
95LL02,25
95LL03,20
95LL04,10
95LL05,15
95LL06,20
95LL07,30
95LL08,25
95LL09,40
95LL10,15
95LL11,15
95LL12,35
95LL13,25
95LL14,30
95LL15,10
95LL16,30
95LL17,15
95LL18,15
95LL19,15
95LL20,20
95LL21,20
95LL22,25
